"","Surface_1","Pseudoalteromonadaceae","Flavobacteriaceae","ZD0405","Porticoccaceae","Oceanospirillaceae","Piscirickettsiaceae","Rhodobacteraceae","Colwelliaceae","SAR86_clade","NS9_marine_group","PS1_clade","Chesapeake-Delaware_Bay","SAR116_clade","Spongiibacteraceae","Verrucomicrobiaceae","Alteromonadaceae","Cryomorphaceae","Unknown_Family","Surface_4","Methylophilaceae","Surface_2","Puniceicoccaceae","Flammeovirgaceae","OM182_clade","Rhodospirillaceae","Mitochondria","Cellvibrionaceae","Halieaceae","Burkholderiaceae","Emcibacteraceae","OCS116_clade","Deep_1","Alcanivoracaceae","NS7_marine_group","Lentisphaeraceae","Cytophagaceae","Nitrospinaceae","NS11-12_marine_group","Idiomarinaceae","Comamonadaceae","Nitrosomonadaceae","Sva0996_marine_group","Chitinophagaceae","Litoricolaceae","Caulobacteraceae","Opitutaceae","Rubritaleaceae","Sphingomonadaceae","Microbacteriaceae","Blfdi19","AT-s3-44","Bacteriovoracaceae","Mycobacteriaceae","Elev-16S-1332","Rickettsiaceae"
"400795R102b",130846.811950478,6631.89916256058,19772.3359067744,3597.23665060652,2436.14838516323,4551.75093017341,61.0563505053442,11886.4760347744,415.183183436339,3376.41618294552,6353.93087592281,1944.64476359521,2030.12365430269,6197.21957629243,0,526.023942815272,366.072640638563,448.764176214279,876.158629751688,854.788907074818,1517.2503100578,3867.91980451355,230.135474981682,794.95368357958,455.887417106569,5705.71595472441,299.176117476186,0,102.574668848978,0,277.806394799316,1324.92280596597,1239.44391525849,0,42.7394453537409,0,0,1730.94753682651,92.6021315997718,0,0,534.243066921761,747.940293690466,0,0,64.1091680306113,85.4788907074818,0,0,0,0,170.957781414964,0,0,0,0
"400804R102b",128168.134722863,24219.4588121341,16114.3870256809,3043.37331615214,2046.12509559158,3016.20034011507,48.5231714947727,8836.16032099509,294.050419258322,2133.07861891021,4232.19101777407,1222.78392166827,2588.22596753118,4687.33836639505,0,564.361810000741,261.096856704048,557.046008759991,774.429817056573,713.290620973159,1976.83400669704,3301.51658850434,62.7068677778602,782.581709867695,108.691904148291,3892.52881731067,285.316248389264,0,163.037856222436,0,264.936516361459,1182.02445761266,876.328477195596,0,61.1391960834136,0,0,1426.58124194632,129.071636176095,0,0,346.455444472677,468.733836639504,0,20.3797320278046,0,0,0,0,285.316248389264,0,224.17705230585,0,0,0,0
"407863R102b",168061.102401296,17.5347544358883,13861.4085311507,5518.27071980471,6754.18701151063,789.898937921445,682.304730430485,7801.29084143312,0,3255.11841394605,1881.06165681758,3438.81584136964,705.398121306593,2116.19436391977,0,0,53.2089100123509,1227.09881518959,2601.15557231806,617.223356143269,2314.58758553726,3328.59738491549,525.657253858277,171.940792068482,73.4789709694367,2292.54389424643,1961.88852488396,0,0,0,0,110.218456454155,3813.55859331376,0,0,0,0,176.349530326648,0,0,462.917517107452,0,0,573.135973561607,0,336.456340754789,0,0,0,0,0,0,0,0,0,0
"407872R202b",140003.235181852,0,15393.0441615412,5161.48017244111,5844.57220713212,750.482280265919,448.538972170592,8314.41753609737,0,2481.18631434855,1738.36201653432,3009.58710351536,344.609210326187,2044.68131460205,0,0,0,1746.01999898602,873.009999493006,620.296578587136,2917.69131409505,3193.37868235599,335.773076728079,87.3009999493006,0,2596.05605112394,3354.19631384155,0,0,0,0,114.869736775396,2412.26447228331,0,0,0,0,0,0,0,183.791578840633,0,0,0,0,0,0,0,73.0989234025244,0,0,0,0,0,0,0
"408031R102b",418779.486432177,558.589576567137,54684.6226938032,17610.2143012506,9773.90755798405,17482.9498799226,11294.7173928527,54543.9716670071,102.266052852791,6522.30159305575,8701.70480829634,5201.93322177862,3292.96690185986,7444.96864768316,0,550.663361515026,89.9150802860284,2887.31155887712,5488.27816976644,859.034843963441,4533.79500980705,4438.34669381111,2826.73858911047,0,1463.54084527105,5774.62311775424,0,0,171.806968792688,2330.06183166554,0,0,1765.79384592485,0,143.172473993907,0,0,0,0,0,214.75871099086,0,334.069105985783,63.6322106639585,0,175.825845255675,0,0,0,0,0,0,0,0,0,0
"408031R13b",69629.9359145763,7878.09057531519,197563.425918683,5752.03818424761,28094.1654472725,11049.9680907914,4469.002098037,29886.1233136645,4238.34392523508,3935.60507343257,86785.1375167184,3935.60507343257,605.477703605011,5146.5604806426,0,13506.8103111887,702.003134614507,19425.7429906608,0,0,2421.91081442005,6962.99359145763,71027.1921536649,242.191081442005,0,0,13623.2483311128,0,6660.25473965513,7123.26710123543,0,0,0,0,0,21797.1973297804,0,0,0,0,3330.12736982756,0,0,0,0,7010.79446279487,0,0,0,0,0,0,0,0,0,0
"408040R102b",422366.475612862,2747.93241977432,214801.057968273,26038.460756663,26246.7684427162,33374.5140481054,11062.3025823338,127513.048719083,989.784967893027,10007.8257864739,23955.3838961299,7471.90613017284,5434.11354921661,11411.6384533549,0,0,177.19935486576,11049.3642167405,3803.87948445163,1358.52838730415,8422.87600128575,6520.93625905994,2403.55022369197,706.43476139816,1947.22402180262,5909.59848477307,0,0,597.752490413828,1598.26869094606,0,0,0,0,135.852838730415,543.411354921661,0,0,950.969871112907,0,271.705677460831,0,2173.64541968665,0,0,0,0,0,308.756451660034,0,0,0,0,0,0,0
"408040R13b",65624.725161011,9303.23511508482,342206.245474777,5631.16453526827,24690.4906546378,26639.739916846,3712.85573753952,38068.7693747368,6775.96172100961,8230.16355154593,253185.820835716,0,0,0,0,9996.1500626064,2057.54088788649,29888.4886871931,2598.99901627766,0,0,0,29488.6426846889,519.799803255533,0,0,24040.7409005684,0,12735.0951797605,27136.6073758403,0,0,0,0,0,15593.994097666,0,0,2815.58226763413,0,2274.12413924296,0,0,0,0,0,0,0,12108.9726894755,0,0,0,0,0,0,0
"408231R202b",328260.105901914,28701.0297801486,67778.4141205066,17380.90636248,8640.28757713776,16156.2754388079,10749.7723076216,75133.5756235727,164.408282351861,5223.1246624091,12777.4744566279,5400.1797357111,2567.29856287905,7436.31307868414,0,1089.56968185848,679.994122101896,1593.49565971803,6019.87249226811,619.692756557012,5577.23480901311,6196.92756557011,6401.22188091858,0,973.802903161018,5090.3333574326,0,0,0,0,0,0,3983.73914929508,0,0,2567.29856287905,0,177.055073302003,0,0,0,0,265.582609953005,0,0,0,0,0,0,0,0,0,0,0,0,0
"408386R102b",210613.682296225,50082.7990308785,21402.4314152148,2160.70374812681,3054.28292531824,878.930338221075,1229.45612786877,10413.4137897932,78.4759230554532,1190.21816634104,567.64251010111,2746.65730694086,659.197753665806,3021.32303763495,0,0,10656.371482611,146.488389703513,2471.99157624677,878.930338221075,2087.45955327505,3131.18932991258,0,0,0,686.664326735215,329.598876832903,0,0,0,0,0,0,572.220272279348,0,0,0,0,0,2238.5257051568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408396R102b",242775.54778768,8916.83438977858,28998.6303703643,2971.30414473889,5116.9285800263,892.819755029715,867.310619171723,9716.15153748039,70.4052149680576,1885.63532262276,1007.10068367352,3621.27692640052,878.534638949239,2271.33345679559,0,0,1825.04672683316,499.979062816641,2914.16368041699,1007.10068367352,2271.33345679559,3599.84925227981,857.106964828526,107.138370603566,57.1404643219018,1714.21392965705,664.257897742108,0,42.8553482414263,0,0,0,2421.32717564059,0,0,107.138370603566,0,0,0,80.3537779526743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
