"","SAR11_clade","Alteromonadales","Flavobacteriales","Oceanospirillales","Cellvibrionales","Rickettsiales","Thiotrichales","Rhodobacterales","Rhizobiales","Verrucomicrobiales","Gammaproteobacteria_Incertae_Sedis","SAR324_clade(Marine_group_B)","Methylophilales","Puniceicoccales","P.palmC41","Cytophagales","Rhodospirillales","Burkholderiales","Emcibacterales","BD7-8_marine_group","Unknown_Order","KI89A_clade","Lentisphaerales","Nitrospinales","Sphingobacteriales","NB1-j","Nitrosomonadales","Acidimicrobiales","Caulobacterales","Opitutales","Sphingomonadales","Micrococcales","PeM15","MB11C04_marine_group","Myxococcales","Bdellovibrionales","Corynebacteriales","Solirubrobacterales"
"408031R13b",77198.407209639,12818.4376351648,303774.306426062,20737.6113484716,34754.4201869276,24219.1081442005,4469.002098037,29886.1233136645,3935.60507343257,13506.8103111887,0,0,2421.91081442005,71027.1921536649,35420.4456608932,242.191081442005,0,10453.394471063,0,0,0,0,21797.1973297804,0,0,0,0,0,7010.79446279487,0,0,0,0,0,0,0,0,0
"408040R102b",443831.224132267,3914.91674253311,249941.658919874,71368.0246130449,26844.52093313,21600.6013581361,11062.3025823338,127513.048719083,7471.90613017284,0,3803.87948445163,2037.79258095623,8422.87600128575,2403.55022369197,5841.67206540786,706.43476139816,5909.59848477307,1869.97436840689,0,0,0,0,543.411354921661,0,950.969871112907,0,0,2173.64541968665,0,0,308.756451660034,0,0,0,0,0,0,0
"408040R13b",65624.725161011,18136.7377239809,625280.554997686,40501.0680036602,37425.5858343983,36385.9862278873,3712.85573753952,38068.7693747368,0,9996.1500626064,2598.99901627766,0,0,29488.6426846889,27939.2394249849,519.799803255533,0,29410.7315150833,0,0,0,0,15593.994097666,0,2815.58226763413,5197.99803255533,0,0,0,0,12108.9726894755,0,0,0,0,0,0,0
"408231R202b",349152.604551551,29545.4321846024,82149.3842368525,39734.109366858,8640.28757713776,14429.9884741133,10749.7723076216,75133.5756235727,5400.1797357111,1089.56968185848,6019.87249226811,1416.44058641603,5577.23480901311,6401.22188091858,13987.3507908583,0,5090.3333574326,0,0,0,0,0,2567.29856287905,177.055073302003,0,0,0,265.582609953005,0,0,0,0,265.582609953005,0,0,0,0,0
"408386R102b",216766.194663772,63056.1721417018,22116.5623150194,4802.07252496827,3054.28292531824,11041.5623739023,1229.45612786877,10413.4137897932,2746.65730694086,0,1593.0612380257,714.130899804624,2087.45955327505,0,0,0,686.664326735215,0,0,0,878.930338221075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408396R102b",255867.856675436,10892.6401095325,30505.7101168544,5806.89968671327,5159.78392826772,12578.0447088586,867.310619171723,9716.15153748039,3621.27692640052,0,2164.19508619203,1778.49695201919,2271.33345679559,857.106964828526,385.698134172837,107.138370603566,1714.21392965705,0,0,0,749.96859422496,0,107.138370603566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433238R202b",618553.527446027,6773.53990059656,165474.403072575,35499.6796163549,16565.8588384971,95034.4691593321,253.921809296399,10114.8619269843,6576.57486077673,91.1514187217843,2192.19162025891,0,8946.51174754311,683.635640413379,0,118.496844338319,2073.69477592059,0,0,0,0,0,0,0,78.9978962255461,0,0,0,0,0,0,0,0,0,0,0,0,0
"433246R202b",330975.030962969,5533.49328921765,101101.800974284,19402.0281761062,19133.9605292518,79092.6005223829,108.38314562848,16519.9015036726,3755.47599602681,0,1365.62763491884,569.011514549517,5272.84003482553,262.620699022854,0,0,1555.29813976868,0,0,0,0,0,0,0,113.802302909903,0,0,0,0,0,0,303.472807759742,0,0,0,0,0,0
"433310R202b",379772.446756472,3060.02126100146,96932.2246235321,40237.1064883717,23577.2984398419,63080.3946937657,0,16238.0204215939,13345.6406263256,0,4226.11953166978,355.883750035349,4582.00328170512,376.415504845081,0,35.5883750035349,3358.6528909586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433318R202b",613553.671461542,308.21153873856,201064.587494456,23994.9194419351,12357.9804011399,14802.8358746267,250.124722919959,31965.9038256496,10552.9894461048,0,3294.8247591911,0,6780.65385224835,404.047629332241,0,238.755417332688,2817.31392452572,0,0,34.1079167618126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433434R202b",466299.134561425,25892.1131446111,27235.6062221566,27614.0405577268,5946.09634675644,16339.7283212993,13526.88199185,12222.3824432403,7643.261498361,1550.87377465229,11585.2585703503,1354.12113159939,3279.98229654074,2152.70538869647,722.197936853008,210.64106491546,5687.30875271743,0,0,0,481.465291235339,0,331.007387724295,210.641064915461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433442R202b",447086.004133178,38416.4828256184,15379.2173965161,20023.3389885286,3864.9193031293,15001.1274646883,7798.46509913094,6228.65233195204,9039.98074291259,1536.8975064595,8876.21297583085,229.27487391445,2620.284273308,1889.6280817125,425.79619441255,19.65213204981,3897.67285654565,0,0,0,1277.38858323765,79.5443440111357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
