"","Candidatus_Pelagibacter","Pseudoalteromonas","Polaribacter_1","SAR92_clade","Formosa","Ulvibacter","Balneatrix","Polaribacter_4","Planktomarina","NS2b_marine_group","Zhongshania","Haloferula","NS5_marine_group","Oceaniovalibus","Roseobacter_clade_NAC11-7_lineage","Paraglaciecola","Pseudohongiella","NS4_marine_group","Sulfitobacter","NS10_marine_group","Colwellia","OM43_clade","Polaribacter_3","Amylibacter","Oleispira","Lentimonas","Alteromonas","Porticoccus","Marinoscillum","Ascidiaceihabitans","Magnetospira","Glaciecola","OM75_clade","AEGEAN-169_marine_group","OM60(NOR5)_clade","Ralstonia","Emcibacter","Pelagicoccus","Pseudofulvibacter","Loktanella","Fluviicola","Pseudophaeobacter","Alcanivorax","marine_group","Crocinitomix","Candidatus_Nitrosopelagicus","Lentisphaera","Leadbetterella","Idiomarina","Luteolibacter","Roseibacillus","Salinirepens","Nitrospina","Cycloclasticus","Croceibacter","Pelomonas","Marinobacter","Candidatus_Tenderia","Nitrosomonas","Hydrotalea","Litoricola","Caulobacter","NS3a_marine_group","Opitutus","Rubritalea","Oceanibulbus","Sphingomonas","Candidatus_Aquiluna","BAL58_marine_group","Brevundimonas","Peredibacter","Mycobacterium"
"400795R102b",127534.504935563,6631.89916256058,2863.54283870064,2042.94548790881,1153.965024551,641.091680306113,1688.20809147277,593.009804283155,4961.49213454297,3484.19391470715,0,0,4905.74503190766,2592.24027254211,2712.31095514125,99.7253724920621,2863.54283870064,3521.35864979734,589.111273794806,0,0,1517.2503100578,203.012365430269,473.850372400171,0,0,266.347268146501,393.202897254416,794.95368357958,492.432739945276,1346.29252864284,0,747.940293690466,961.637520459169,102.574668848978,0,277.806394799316,230.135474981682,0,65.0382864078667,128.218336061223,0,0,0,0,0,0,0,0,0,526.023942815272,0,833.419184397947,0,0,0,0,0,534.243066921761,0,0,0,55.7471026353141,85.4788907074818,0,0,0,0,0,64.1091680306113,0,0
"400804R102b",125865.225003721,24219.4588121341,2394.61851326704,1703.74559752446,754.050085028768,460.759158889494,1385.82177789071,458.543970625602,4324.04749111679,2525.31462083666,0,0,4908.85719278423,1683.54308055777,1912.55946722473,54.3459520741455,1630.37856222436,2481.01085555882,198.289284594855,95.1054161297546,0,1976.83400669704,137.563191187681,318.98711000042,0,0,206.750904629902,342.379498067116,782.581709867695,336.708616111555,774.429817056573,0,0,1243.16365369608,163.037856222436,0,264.936516361459,62.7068677778602,0,62.0252713889705,264.936516361459,0,0,0,0,0,0,0,0,0,564.361810000741,0,591.012228806332,0,0,0,0,0,346.455444472677,0,20.3797320278046,0,53.1645183334031,0,0,0,0,285.316248389264,0,0,0,0
"407863R102b",155959.11588263,17.5347544358883,727.441812597424,6278.04327962868,2435.82788763683,488.794893840167,470.265414204395,788.061963647209,4514.16460781802,6047.63878457148,0,0,862.579224423823,1198.02670058864,1322.62147744986,0,319.63352371705,2424.80604199142,47.6620352234184,1175.66353551099,0,2314.58758553726,0,536.715961863712,0,305.220340949967,0,476.14373188195,171.940792068482,0,242.480604199142,0,507.004899689114,969.922416796565,0,0,0,0,0,0,0,0,0,220.43691290831,0,1102.18456454155,0,0,0,0,0,0,176.349530326648,0,0,462.917517107452,53.2089100123509,0,0,573.135973561607,0,336.456340754789,0,0,0,0,0,0,0,0,0,0
"407872R202b",131732.614134024,0,608.809604909596,5458.60989156679,2308.88170918546,459.478947101582,589.664648780365,1068.28855201118,4624.75548930506,6712.38809678834,0,0,958.912585255475,1198.64073156935,1731.88218522904,0,160.817631485554,3276.28466628954,0,1746.01999898602,0,2917.69131409505,0,659.252402363139,0,335.773076728079,0,385.962315565329,87.3009999493006,0,183.791578840633,0,941.931841558244,1309.51499923951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.791578840633,0,0,0,0,0,0,0,0,0,0,73.0989234025244,0,0,0,0,0
"408031R102b",409664.172254565,558.589576567137,7277.93409469027,9430.29362039867,13959.3162144059,8735.59587701956,14189.9829780628,3173.65650686494,41291.7714851993,8113.10685965473,0,256.976235373679,4025.42897895912,2801.20057814165,5396.50094284726,0,3292.96690185987,6598.383584067,1547.81052966386,477.24157997969,0,4533.79500980705,0,2220.21082860117,0,2826.73858911047,89.9150802860284,343.613937585377,0,1286.47730255394,1145.37979195126,0,1240.82810794719,1384.0005819411,171.806968792688,2330.06183166554,0,0,0,0,167.034552992891,0,0,0,0,0,0,0,0,0,293.687126141347,0,0,0,0,214.75871099086,0,0,0,63.6322106639585,0,175.825845255675,0,0,0,0,0,0,0,0,0,0
"408031R13b",69629.9359145763,7878.09057531519,19223.9170894591,28094.1654472725,37690.987049412,78317.2247054308,6054.77703605011,16574.9521361872,22113.0987403569,16058.3217043068,0,8383.53743453093,3159.01410576529,0,3027.38851802506,0,4995.19105474134,4343.64439542725,1718.24753725747,5247.47343124343,4238.34392523508,2421.91081442005,1135.2706942594,3027.38851802506,0,71027.1921536649,702.003134614507,0,242.191081442005,0,0,0,0,0,6660.25473965513,7123.26710123543,0,0,8687.2887908545,0,1362.32483311128,0,0,0,1917.34606141587,0,21797.1973297804,0,0,2095.88435863273,3027.38851802506,6256.60293725179,0,0,0,3330.12736982756,0,0,0,0,0,7010.79446279487,0,0,0,0,0,0,0,0,0,0
"408040R102b",414079.452450306,2747.93241977432,70167.9912042595,25377.3102748416,35525.5173280036,41996.247103185,26310.1664341238,10392.7421628768,87713.6806585508,25457.6406490474,0,0,4548.11677488782,6556.37613003309,11286.2358329884,0,7064.3476139816,13939.6825827731,8371.47222446883,2218.92969926346,0,8422.87600128575,5094.48145239058,8033.03742058108,0,2403.55022369197,177.19935486576,869.458167874658,706.43476139816,4370.91742002206,2105.71900032144,0,2852.90961333872,0,597.752490413828,1598.26869094606,0,0,0,1181.32903243839,815.117032382492,0,0,0,0,0,543.411354921661,0,0,0,0,0,0,0,0,271.705677460831,0,0,0,0,0,0,0,0,0,0,308.756451660034,0,0,0,0,0
"408040R13b",65624.725161011,9303.23511508482,71310.0355091184,24690.4906546378,54578.979341831,119779.954663232,8446.7468029024,21929.0541998428,26554.9899489239,25707.490269703,0,5997.69003756384,3389.99871688391,0,0,2057.54088788649,18192.9931139436,3672.49860995757,6146.28145741339,9962.8295623977,5476.46221287078,0,17543.2433598742,2542.49903766293,0,29488.6426846889,0,0,519.799803255533,0,0,0,0,0,12735.0951797605,27136.6073758403,0,0,5932.49775454684,2824.99893073659,2598.99901627766,0,0,0,0,0,15593.994097666,0,0,0,3998.46002504256,3248.74877034708,0,0,0,2274.12413924296,0,0,0,0,0,0,0,0,0,0,12108.9726894755,0,0,0,0,0
"408231R202b",321000.847896532,28701.0297801486,12061.876868699,8640.28757713776,12084.0087528617,12355.3648978137,13987.3507908583,9472.44642165718,53732.3657238254,6851.261532121,0,1089.56968185848,4387.88659922356,4695.80846583574,8648.4593497517,0,2168.92464794954,6119.94709891707,2129.44615187545,236.073431069338,164.408282351861,5577.23480901311,442.637683255008,3502.61123271355,0,6401.22188091858,679.994122101896,0,0,2039.98236630569,1637.75942804353,0,1416.44058641603,619.692756557012,0,0,0,0,0,0,0,0,0,0,0,0,2567.29856287905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.902333265224,0,0,0,0,0,0
"408386R102b",205669.699143731,50082.7990308785,10451.03105291,2812.57708230744,5658.11405229817,549.331461388172,878.930338221075,617.997894061694,6472.5576537476,2149.5578923885,0,0,501.563508223983,0,1647.99438416452,0,0,1337.50268859729,0,146.488389703513,78.4759230554532,2087.45955327505,0,382.143625313511,0,0,10031.2701644797,241.705843010796,0,0,192.26601148586,0,0,494.398315249355,0,0,0,0,0,0,0,1910.71812656756,572.220272279348,0,0,878.930338221075,0,0,2238.5257051568,0,0,0,0,0,137.332865347043,0,625.101318131369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"408396R102b",233990.201398188,8916.83438977858,14994.0149659691,4816.94114233631,7274.69536398211,801.208684513623,549.976969098305,348.199704461589,6409.66947610898,3279.36577847436,0,0,512.400902886619,391.287962204327,1203.24631600928,0,342.84278593141,1788.74497007692,845.524438276788,349.985343971649,70.4052149680576,2271.33345679559,0,372.65520209936,0,510.967613647774,1714.21392965705,299.987437689984,107.138370603566,0,171.421392965705,0,449.981156534976,964.245335432092,42.8553482414263,0,0,0,0,0,0,0,0,346.139351180752,0,749.96859422496,107.138370603566,0,80.3537779526743,0,0,0,0,0,0,0,110.832797176103,0,0,0,0,0,0,0,0,493.768142781652,0,0,0,0,0,0
"433238R202b",592602.718535935,6476.92978712859,46317.4540307406,14267.0200583337,81673.9499601866,8037.17726816424,2764.92636789412,1910.7616149554,7444.69304647267,15533.3906817406,0,0,2679.05908938809,515.203671036171,911.514187217842,0,2340.31267568181,2807.86000714714,496.405699255122,434.488429240504,0,8946.51174754311,0,747.045323002448,0,0,25.7601835518086,2298.8387801634,118.496844338319,0,0,0,592.484221691597,829.477910368236,0,0,0,0,0,0,0,0,0,683.635640413379,0,0,0,0,0,0,91.1514187217843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
